                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7072,                 4.4263,                 1.9963,                 0.4173,                0.42857,                0.33515,                0.12061,                 2.1428,                 7.8524,                 2.7402,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.3912,                 2.7349,                 1.6792,                0.38496,                0.42857,                0.23118,                0.13098,                 2.0154,                 7.3929,                 2.6208,             0.00017822,             0.00017822,             0.00017822
                      3,                 1.2575,                 2.0512,                 1.5354,                0.79636,                0.56104,                  0.693,                 0.4193,                 1.5232,                  2.846,                 1.7554,             0.00027446,             0.00027446,             0.00027446
                      4,                 1.1677,                  1.669,                 1.4619,                0.97989,                0.42857,                0.51475,                0.28991,                 1.5982,                 2.9346,                 1.8322,             0.00036871,             0.00036871,             0.00036871
                      5,                 1.0139,                  1.285,                 1.2725,                 0.3742,                0.85714,                0.41294,                0.19498,                 1.8212,                 3.9476,                  2.089,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.1523,                 1.1606,                 1.3661,                0.91118,                0.57143,                0.65999,                0.23462,                 2.0993,                 2.7188,                 2.3928,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.1335,                 1.3635,                 1.4234,                0.84147,                      1,                 0.9775,                0.50217,                 1.7819,                 3.5303,                 2.2306,             0.00063961,             0.00063961,             0.00063961
                      8,                 1.2964,                 1.2562,                 1.4366,                0.57837,                0.85714,                0.71563,                0.36193,                 1.8127,                 3.6061,                 2.0618,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.2421,                 1.2297,                   1.46,                0.77062,                0.57143,                0.64394,                0.30622,                 1.6481,                 2.1136,                 2.2431,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.2637,                 1.1378,                 1.4276,                      1,                0.40986,                0.52239,                0.34315,                 1.6915,                 2.6573,                 2.5541,             0.00089268,             0.00089268,             0.00089268
                     11,                 1.0271,                 1.0244,                 1.2528,                0.49238,                0.14286,                0.17831,                0.09634,                 2.7371,                 2.9767,                 2.8937,             0.00097308,             0.00097308,             0.00097308
                     12,                 1.1045,                 1.0578,                 1.3624,                0.93614,                0.28571,                0.37008,                0.25936,                 1.8303,                 2.7961,                  2.062,              0.0010515,              0.0010515,              0.0010515
                     13,                 1.1296,                 1.0184,                  1.447,                0.96549,                0.42857,                0.52565,                0.32939,                 1.7034,                  2.068,                 2.1888,              0.0011279,              0.0011279,              0.0011279
